,name,title,title2,title3,education
320,Smitha Radhakrishnan,Luella LaMer Associate Professor of Women's Studies,Associate Professor of Sociology,,"A.B., M.A., Ph.D., University of California (Berkeley)"
321,Marta Rainer,Lecturer in Theatre Studies,Interim Director of Theatre and Theatre Studies,,"B.A., Wellesley College; M.A., Antioch University"
322,Carlos Ramos,Professor of Spanish,,,"Licenciatura, Universidad Central de Barcelona; M.A., Emerson College; Ph.D., Boston University"
323,Valerie Ramseyer,Associate Professor of History,,,"A.B., Smith College; M.A., Ph.D., University of Chicago"
324,Nikhil Rao A1                                                                                   ,Associate Professor of History,,,"B.A., Stanford University; M.A., Ph.D., University of Chicago"
325,Joy Renjilian-Burgy,Associate Professor of Spanish,,,"B.A., Mount Holyoke College; A.M., Harvard University"
326,Daniela RiveraA,Associate Professor of Art,,,"M.F.A., Museum of Fine Arts (Boston)"
327,Petra R. Rivera-Rideau,Assistant Professor of American Studies,,,"B.A., Harvard University; M.A., Ph.D., University of California (Berkeley)"
328,Lois P. Roach,Senior Lecturer in Theatre Studies,,,"B.S., Emerson College; M.A., Lesley College"
329,Tanya Roberts,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., University of Nevada (Las Vegas); M.Ed., Holy Names University"
330,Julie A. Roden,Instructor in Biological Sciences Laboratory,,,"A.B., Harvard University; Ph.D., Stanford University"
331,Lisa Rodensky,Professor of English,,,"B.A., Wellesley College; J.D., Harvard Law School; Ph.D., Boston University"
332,Mark Römisch,Visiting Lecturer in German Studies,,,"B.A., Staatlich gen. Schauspielstudio Gmelin; M.A., Ludwig-Maximilians-University LMU"
333,Guy M. Rogers,"William R. Kenan, Jr. Professor of History and Classical Studies",,,"B.A., University of Pennsylvania; B.A., University of London; M.A., Ph.D., Princeton University"
334,Lawrence A. Rosenwald,Anne Pierce Rogers Professor of American Literature,Professor of English,,"B.A., M.A., Ph.D., Columbia University"
335,Emily Ross,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Ithaca College"
336,Casey G. Rothschild,Norma Wilentz Hess Associate Professor of Economics,,,"A.B., Princeton University; Ph.D., Massachusetts Institute of Technology"
337,Noah Rubin,Lecturer in Education,,,"B.A., Sarah Lawrence College; M.S., Bank Street College of Education; Ph.D., Harvard Graduate School of Education"
338,David Russell,Lecturer in Music,"Co-Director, Wellesley Chamber Music Society",,"B.M., Eastman School; M.M., University of Akron; D.M.A., SUNY (Stony Brook)"
339,Markella B. Rutherford,Associate Professor of Sociology,,,"B.A., Mississippi College; M.A., University of Memphis; Ph.D., University of Virginia"
340,Daniel Ryan,Music Performance Faculty in Keyboard Skills,,,"B.A., Boston University"
341,Niki Rybko A1,PERA Assistant Professor of the Practice,,,"B.S., University  of Florida, Gainesville; M.S., University of Massachusetts, Amherst"
342,Nico Santiago,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Gallaudet University; M.A., A.T. Still University"
343,Robert Savine,Accompanist/Coach in Music,,,"B.S., Pennsylvania State University"
344,Nancy Scherer,Associate Professor of Political Science,,,"B.A., Lafayette College; J.D., Emory University; Ph.D., University of Chicago;"
345,Else Schlerman,Instructor in Physics Laboratory,,,"B.A., Wellesley College"
346,Kay Schlozman,Distinguished Visiting Professor of Political Science,,,"B.A., Wellesley College; M.A., Ph.D., University of Chicago"
347,Lauren E. Schoenberger,PERA Assistant Professor of the Practice,,,"B.A., American University; M.S., Ithaca College"
348,Andrew Schultz A2,Associate Professor of Mathematics,,,"B.S., Davidson College; M.S., Ph.D., Stanford University;"
349,Jessica Seidman,Visiting Lecturer in Classical Studies,,,"B.A., Brown University; M.A., Ph.D., University of Chicago"
350,Deborah Selig,Music Instructor in Voice,,,"B.A., BM., University of Michigan, School of Music; M.M., University of Cincinnati, College - Conservatory of Music   "
351,Inela SelimovićA,Assistant Professor of Spanish,,,"B.A., University of the South; M.A., Ph.D, University of Kentucky"
352,Andrea S. Sequeira,Professor of Biological Sciences,,,"M.S., Ph.D., University of Buenos Aires (Argentina)"
353,Orit Shaer,Class of 1966 Associate Professor of Computer Science,,,"B.A., Academic College of Tel-Aviv; M.S., Ph.D., Tufts University"
354,Lois Shapiro,Senior Music Performance Faculty in Piano,,,"B.Mus., Peabody Institute of Music; M.Mus., Yale University School of Music; D.Mus., Indiana University School of Music (Bloomington)"
355,Kartini Shastry,Associate Professor of Economics,,,"A.B., Brown University; A.M., Ph.D., Harvard University"
356,Luke Sheahan,Freedom Project Postdoctoral Fellow,,,"B.A., Oregon State University; M.A., Ph.D., The Catholic University of America"
357,Andrew Shennan,Professor of History,Provost and Lia Gelin Poorvu '56 Dean of the College,,"B.A., M.A., Ph.D., Cambridge University (Corpus Christi College)"
358,Vernon L. Shetley,Professor of English,,,"A.B., Princeton University; M.A., M.Phil., Ph.D., Columbia University"
359,Neelima Shukla-Bhatt,Associate Professor of South Asia Studies,,,"B.A., M.A., Maharaja Sayajirao University of Baroda (India); M.Div., Ph.D., Harvard University"
360,Olga Shurchkov,Associate Professor of Economics,"Director, Knapp Social Science Center",,"B.A., Wellesley College; Ph.D., Massachusetts Institute of Technology"
361,Daniel Sichel,Professor of Economics,,,"B.A., M.P.P., University of Michigan; Ph.D., Princeton University"
362,Marilyn Sides,Senior Lecturer in English,,,"B.A., M.A., University of Utah; Ph.D., Johns Hopkins University"
363,Linda M. Sieck,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., William Paterson College"
364,Edward Silver,Assistant Professor of Religion,,,"B.A., University of Minnesota (Twin Cities); A.M., Ph.D., University of Chicago"
365,Shikha Singh,Assistant Professor of Computer Science,,,"M.S., Indian Institute of Technology; Ph.D., Stony Book University"
366,Susan E. Skeath,Professor of Economics,,,"B.A., Haverford College; M.A., Ph.D., Princeton University"
367,Christa D. Skow,Senior Instructor in Biological Sciences Laboratory,,,"B.S., Ph.D., University of Massachusetts (Amherst)"
368,Quinn Slobodian,Associate Professor of History,,,"B.A., Lewis & Clark College; Ph.D., New York University"
