,name,title,title2,title3,education
467,Winifred Jane Wood,Senior Lecturer in the Writing Program,,,"B.A., University of Illinois (Urbana); M.A., University of Iowa; Ph.D., University of Massachusetts (Amherst)"
468,Benjamin P.  Wood,Assistant Professor of Computer Science,,,"B.A., Williams College; M.S., Ph.D., University of Washington"
469,Hannah Woodruff,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Wellesley College "
470,Miya Woolfalk,Assistant Professor of Political Science,,,"B.A., Stanford University; A.M., Ph.D., Harvard University"
471,Elizabeth Marie Young,Knafel Assistant Professor of Humanities,Assistant Professor of Classical Studies,,"B.A., Columbia University; Ph.D., University of California (Berkeley)"
472,Tom Zajac,Senior Music Performance Faculty in Recorder and Early Winds,"Director, Wellesley Collegium Musicum",,"B.A., Northern Illinois University; M.F.A., Sarah Lawrence College"
473,Ina Zdorovetchi,Music Instructor in Harp,,,"B.M., Bucharest University of Music; B.M., Boston Conservatory; M.M., Boston University College of Fine Arts"
474,Paula Zeitlin,Senior Music Performance Faculty in Jazz Violin,,,"B.A., Earlham College; M.A., University of Chicago"
475,Weina Zhao,Senior Lecturer in Chinese,,,"B.A., Nanjing University; M.A., Clark University"
476,Eve Zimmerman,Barbara Morris Caspersen Associate Professor of Humanities,Associate Professor of Japanese,,"B.A., University of Pennsylvania; Ph.D., Columbia University"
477,Daniel Zitnick,Lecturer in Middle Eastern Studies,,,"B.A., M.A., University of Michigan"
